serial,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
413,Galaxy A6+ 3/32GB Gold (SM-A605FZDN),0,205,7064,7032,7129,3,6,32,3500,May-18
414,Galaxy A6+ 3/32GB Lavender,0,484,5292,5255,5330,2,6,32,3500,May-18
415,Galaxy A6+ 4/32GB Gold,0,346,7071,7032,7129,4,6,32,3500,Jun-18
416,Galaxy A7 2018 4/64GB Black (SM-A750FZKU),0,279,5699,,,1,6,64,3300,Oct-18
417,Galaxy A7 2018 4/64GB Blue (SM-A750FZBU),0,689,5893,5570,6283,6,6,64,3300,Oct-18
418,Galaxy A70 2019 SM-A7050 6/128GB Black,0,339,8816,8299,10175,14,6.7,128,4500,May-19
419,Galaxy A70 2019 SM-A7050 6/128GB Blue,0,173,8965,8230,9499,11,6.7,128,4500,Aug-19
420,Galaxy A70 2019 SM-A7050 6/128GB Blue,0,209,8965,8230,9499,11,6.7,128,4500,Aug-19
421,Galaxy A70 2019 SM-A7050 6/128GB Blue,0,222,8965,8230,9499,11,6.7,128,4500,Aug-19
422,Galaxy A70 2019 SM-A705F 6/128GB Black (SM-A705FZKU),0,611,8986,8449,9399,9,6.7,128,4500,Apr-19
423,Galaxy A71 2020 6/128GB Black (SM-A715FZKU),0,1209,10403,9396,14538,79,6.7,128,4500,Jan-20
424,Galaxy A71 2020 SM-A715F 8/128GB Blue,0,957,10848,10340,11999,20,6.7,128,4500,May-20
425,Galaxy A8+ 2018 32GB Gold (SM-A730FZDD),0,44,7309,6780,8928,5,6,32,3500,Jan-18
426,Galaxy A8+ 2018 32GB Orchid Gray (SM-A730FZVD),0,93,7253,6799,8499,5,6,32,3500,Jan-18
427,Galaxy A8+ 2018 32GB Orchid Gray (SM-A730FZVD),0,102,7253,6799,8499,5,6,32,3500,Jan-18
428,Galaxy A8+ 2018 4/64GB Orchid Gray,0,143,6542,,,1,6,64,3500,Feb-18
429,Galaxy A80 2019 8/128GB Black (SM-A805FZKD),0,423,13131,,,1,6.7,128,3700,Apr-19
430,Galaxy A80 2019 A8050 8/128GB Black,0,310,13296,13031,13709,6,6.7,128,3700,Aug-19
431,Galaxy A9 2018 6/128Gb Blue (SM-A920FZBD),0,472,8610,7099,9199,4,6.3,128,3800,Nov-18
432,Galaxy Fold 12/256GB Black,0,298,55338,45799,59999,4,7.3,256,4380,Nov-19
433,Galaxy Fold 12/512GB Black (SM-F900FZKD),0,819,41310,34100,56999,31,7.3,512,4380,Mar-19
434,Galaxy Fold 5G SM-F907B 12/512GB Black,0,304,37640,35400,49593,10,7.3,512,4235,Mar-20
435,Galaxy Fold 5G SM-F907B 12/512GB Silver,0,330,37173,35400,49737,10,7.3,512,4235,Mar-20
436,Galaxy J6 2018 2/32GB Gold (SM-J600FZDD),0,761,3498,,,1,5.6,32,3000,Jun-18
437,Galaxy M10 SM-M105F 2/16GB Black (SM-M105GDAG),0,132,4268,4116,4516,6,6.22,16,3400,Mar-19
438,Galaxy M10 SM-M105F 2/16GB Black (SM-M105GDAG),0,157,4268,4116,4516,6,6.22,16,3400,Mar-19
439,Galaxy M10 SM-M105F 2/16GB Black (SM-M105GDAG),0,107,4268,4116,4516,6,6.22,16,3400,Mar-19
440,Galaxy M10 SM-M105F 3/32GB Black,0,270,4100,,,1,6.22,32,3400,Mar-19
441,Galaxy M10 SM-M105F 3/32GB Black,0,258,4100,,,1,6.22,32,3400,Mar-19
442,Galaxy M10 SM-M105F 3/32GB Blue,0,64,4095,4090,4100,2,6.22,32,3400,Mar-19
443,Galaxy M10S M107F 3/32GB Black,0,145,4882,4650,4999,3,6.4,32,4000,Apr-20
444,Galaxy M115 M11 3/32 Black (SM-M115FZKN),0,1049,4171,3799,4677,8,6.4,32,5000,Apr-20
445,Galaxy M21 4/64GB Black (SM-M215FZKU),0,1204,5849,5228,6181,67,6.4,64,6000,Apr-20
446,Galaxy M30 SM-M305F 4/64GB Gradation Blue,0,443,6749,5950,7838,5,6.4,64,5000,May-19
447,Galaxy M31 6/128GB Black (SM-M315FZKU),0,1214,7196,6698,7571,44,6.4,128,6000,Feb-20
448,Galaxy M31s 6/128GB Blue (SM-M317FZBN),0,1184,8359,7429,9199,55,6.5,128,6000,Sep-20
449,Galaxy M51 6/128GB Black (SM-M515FZKD),0,1220,9620,8555,10394,55,6.7,128,7000,Sep-20
450,Galaxy Note 10 SM-N9700 8/256GB Black (SM-N9700ZKD),0,568,21353,20426,23273,5,6.3,256,3500,Aug-19
451,Galaxy Note 10 SM-N9700 8/256GB White,0,658,21852,18449,23719,14,6.3,256,3500,Sep-19
452,Galaxy Note 10 SM-N970F 8/256GB Black (SM-N970FZKD),0,1172,19940,16499,28940,53,6.3,256,3500,Aug-19
453,Galaxy Note 10+ SM-N9750 12/256GB Aura Glow,0,909,25252,22849,26748,16,6.8,256,4300,Aug-19
454,Galaxy Note 10+ SM-N9750 12/512GB Black,0,421,27124,,,1,6.8,512,4300,Sep-19
455,Galaxy Note 10+ SM-N975F 12/256GB Black (SM-N975FZKD),0,1113,23920,20651,31163,49,6.8,256,4300,Aug-19
456,Galaxy Note 10+ SM-N975F 12/512GB Aura Black,0,233,27973,25820,31545,3,6.8,512,4300,Sep-19
457,Galaxy Note 8 64GB Gold,0,744,9923,9250,10598,3,6.3,64,3300,Aug-17
458,Galaxy Note 8 N950F Single sim 128GB Black,0,184,18114,17695,18626,6,6.3,128,3300,Jun-18
459,Galaxy Note 8 N950F Single sim 128GB Black,0,217,18114,17695,18626,6,6.3,128,3300,Jun-18
460,Galaxy Note 9 N960 6/128GB Metallic Copper,0,889,14422,13890,15467,15,6.4,128,4000,Aug-18
461,Galaxy Note 9 N960 8/512GB Lavender Purple,0,164,20948,20469,21871,3,6.4,512,4000,Sep-18
462,Galaxy Note 9 N960 8/512GB Lavender Purple,0,123,20948,20469,21871,3,6.4,512,4000,Sep-18
463,Galaxy Note 9 N960 8/512GB Lavender Purple,0,114,20948,20469,21871,3,6.4,512,4000,Sep-18
464,Galaxy Note 9 N960 8/512GB Metallic Copper,0,813,16076,15090,21366,17,6.4,512,4000,Aug-18
465,Galaxy Note 9 N960 8/512GB Midnight Black,0,992,17585,15840,23770,14,6.4,512,4000,Aug-18
466,Galaxy Note 9 N960 8/512GB Ocean Blue (SM-N960FZBH),0,714,17540,15330,35999,16,6.4,512,4000,Aug-18
467,Galaxy Note10 Lite SM-N770F Dual 6/128GB Black (SM-N770FZKD),0,1182,11405,9756,13999,77,6.7,128,4500,Jan-20
468,Galaxy Note10 Lite SM-N770F Dual 8/128GB Black (SM-N770FZKU),0,915,12169,11699,13098,27,6.7,128,4500,Mar-20
